Models,Expression.only.CV.cor,Multiomics.CV.cor
SOX10,0.782815982,0.779380388
FAM50A,0.776173629,0.775445439
IRF4,0.787509758,0.775286407
KRAS,0.565740826,0.771064259
RPP25L,0.766406147,0.769651656
TP63,0.772905981,0.767324428
HNF1B,0.75484178,0.761300823
BRAF,0.712776565,0.757464313
PAX8,0.763388481,0.757089195
MDM2,0.744148686,0.750311732
DDX3X,0.71934402,0.742270917
CCND1,0.749674115,0.741883231
EBF1,0.740551321,0.723568072
MITF,0.709691803,0.712993343
MYB,0.705601879,0.71234907
FERMT2,0.71264245,0.711416941
EIF1AX,0.678063231,0.707589615
EFR3A,0.703517207,0.69709377
CDS2,0.675629562,0.695552515
RAB6A,0.691971141,0.691989969
CHMP4B,0.698977058,0.69081156
CTNNB1,0.709712355,0.687632414
CDK6,0.676949871,0.685893352
STX4,0.676260725,0.679417686
LMO2,0.672017206,0.671855229
PAX5,0.664887868,0.663797197
POP7,0.651835265,0.658012569
TP53,0.633332577,0.651145417
ZEB2,0.645611851,0.650045766
KLF5,0.656392107,0.648858558
ITGAV,0.647993347,0.646712168
POU2AF1,0.624878057,0.640829565
GRHL2,0.642566964,0.635053472
CCND3,0.627827372,0.6184061
TCF7L2,0.617390839,0.614772924
TTC7A,0.637958992,0.614428107
MYBL2,0.615129661,0.612181704
SOX9,0.625754864,0.611068754
EGFR,0.62364563,0.610539338
DNAJC19,0.608606609,0.608934458
INTS6,0.626945182,0.608933505
SNAP23,0.627858809,0.602584452
ELMO2,0.604973873,0.602577508
NMT1,0.605956567,0.602576197
MYOD1,0.624729788,0.596924737
PIK3CA,0.43078254,0.596052576
BET1,0.56592461,0.593828334
PPM1D,0.592648229,0.592772017
CFLAR,0.591810978,0.591715513
NXT1,0.594762865,0.582871059
DUSP4,0.592315779,0.582484491
PRDM1,0.614490292,0.579998785
WNK1,0.591852833,0.577940383
TP53BP1,0.597615176,0.577692765
CFL1,0.570776478,0.574913681
FOXA1,0.592187238,0.573516903
WDR1,0.562390824,0.571920805
PTK2,0.567653371,0.570466852
TUBB4B,0.593464472,0.570226928
EAF1,0.524979034,0.569367255
PARD3,0.576609279,0.566690854
NAMPT,0.559968163,0.565081776
ATP1B3,0.587481704,0.562780353
RUNX1,0.575124397,0.56238603
ISL1,0.538617275,0.558587431
CCND2,0.587156201,0.558536121
NFE2L2,0.553922592,0.558441535
PCYT1A,0.562976781,0.558094175
ARHGEF7,0.563474998,0.557785562
DNM2,0.543676144,0.551458046
TFAP2A,0.573320996,0.551409369
PSMB5,0.543274437,0.551287123
