gene,UMAP1,UMAP2,cluster
A1BG,7.2089996,3.983783,0
A1CF,1.4297773,9.831282,1
A2M,4.4327536,4.431856,2
A2ML1,1.1084775,13.415549,3
A3GALT2,1.3480546,-0.4339472,4
A4GALT,-5.3175626,7.6001143,5
AAAS,12.285716,2.1531906,6
AACS,3.7433898,14.102638,7
AADAC,-5.3027287,8.8189,8
AADAT,6.3299227,-5.111999,9
AAGAB,4.8013744,5.5047574,10
AAK1,-2.6561139,-0.47690895,11
AAMDC,0.6973449,-5.9581404,12
AAMP,3.469417,7.3896713,13
AANAT,7.1739135,6.5286093,14
AAR2,-0.84592116,2.7107787,15
AARD,0.82925403,-3.6993084,16
AARS1,16.193758,-0.7541787,17
AARS2,14.989493,4.171167,18
AARSD1,11.514252,7.1725674,19
AASDHPPT,15.39767,3.4423337,20
AASS,5.17561,-5.0986357,21
AATF,5.4832172,3.3552818,22
AATK,1.039088,12.18802,23
ABAT,3.7564695,7.5765896,24
ABCA1,-2.6748662,-0.5014051,11
ABCA10,5.86077,7.633692,25
ABCA12,0.55523396,14.661958,26
ABCA13,-4.230351,-4.470595,27
ABCA2,-2.0047371,3.3954196,28
ABCA3,1.0138632,4.8412776,29
ABCA4,-6.494755,4.3661695,30
ABCA5,1.9331204,8.729708,31
ABCA6,3.4385626,1.7248898,32
ABCA7,11.026604,11.439916,33
ABCA8,-1.2295976,-9.150067,34
ABCB1,5.5591846,6.294695,35
ABCB10,11.502611,0.8308435,36
ABCB4,8.971669,8.238388,37
ABCB5,-3.0053682,0.34752774,38
ABCB6,3.4585333,4.175736,39
ABCB7,13.97176,6.5023837,40
ABCB8,10.751601,-2.161841,41
ABCB9,-5.9141817,4.946132,42
ABCC1,3.3808398,5.864497,43
ABCC10,7.180258,6.539143,14
ABCC2,6.0041647,6.852798,44
ABCC3,-5.0312514,5.6574893,45
ABCC4,8.844977,-6.8500876,46
ABCC5,14.295014,-1.0997456,47
ABCC8,4.932476,7.530453,48
ABCC9,5.294718,-6.1953597,49
ABCD1,4.383478,-6.367786,50
ABCD2,12.062573,-1.387984,51
ABCD3,3.29274,-2.6589634,52
ABCD4,6.9321923,13.179201,53
ABCF1,6.7387323,8.570979,54
ABCG1,8.510571,13.842624,55
ABCG2,-5.3622684,8.876428,56
ABHD11,0.6797052,14.6259165,57
ABHD12,-5.388907,-0.8255932,58
ABHD12B,-1.3000793,8.613516,59
ABHD13,15.196701,-0.5449845,60
ABHD14A,9.530818,2.756376,61
ABHD14B,11.113666,10.353414,62
ABHD15,11.767598,6.709008,63
ABHD16B,7.588026,-1.970577,64
ABHD17A,12.917415,1.1820581,65
ABHD17B,9.757938,9.654039,66
ABHD17C,2.232942,12.679151,67
ABHD2,-0.04651283,6.087305,68
ABHD3,3.0658891,6.8119063,69
ABHD4,-2.261953,-4.0923657,70
ABHD5,-2.0551655,-2.5789816,71
ABHD6,4.4686627,4.4496818,2
ABHD8,-6.5390935,-3.2233799,72
ABI1,3.5985515,3.3306582,73
ABI2,7.9789214,-6.32378,74
ABI3,12.150756,-3.619738,75
ABI3BP,-2.285927,-5.8153067,76
ABL1,3.0882316,-5.3817425,77
ABL2,2.373158,-8.893428,78
ABLIM1,1.7014337,11.772514,79
ABLIM2,0.27838972,5.2735147,80
ABLIM3,-0.87193245,-3.767386,81
ABR,12.067579,-5.941791,82
ABRA,6.189207,13.528036,83
ABRACL,3.595263,3.326809,73
ABRAXAS1,10.947833,-5.551001,84
ABT1,16.003222,4.7172785,85
ABTB1,3.0762653,-0.51898277,86
ABTB2,-5.849886,3.514075,87
ABTB3,-5.078127,-0.8772837,88
ACAA1,3.8398654,10.249749,89
ACAA2,7.006859,1.6138674,90
ACACA,13.053541,0.63483214,91
ACACB,15.881321,0.1301448,92
ACAD11,3.2741864,1.9538925,93
ACAD8,12.883203,-4.683073,94
ACAD9,0.69723004,3.8158317,95
ACADM,13.985694,4.342673,96
ACADS,4.234495,2.2491193,97
ACADSB,5.5380216,7.475524,98
ACADVL,-2.5162344,4.0338135,99
ACAN,-1.5127152,2.5573165,100
ACAP1,12.42889,-4.8884983,101
ACAP2,-3.2328053,7.9543533,102
ACAP3,11.232915,11.353269,103
ACAT1,11.964356,1.1382273,104
ACAT2,14.624426,-0.49511653,105
ACBD4,6.104044,10.192709,106
ACBD5,4.8152823,7.014302,107
ACBD7,13.676699,-1.4469023,108
ACCS,5.3352313,6.3494344,109
ACD,14.941362,6.755234,110
ACE,5.0119357,15.459865,111
ACE2,-5.0985875,11.885376,112
ACER2,8.366207,11.58688,113
ACER3,3.7663229,-2.126784,114
ACHE,0.700256,7.4022913,115
ACIN1,7.993855,6.625932,116
ACKR1,6.9861054,-0.30849153,117
ACKR2,7.071055,12.821786,118
ACKR3,-1.2861286,-0.14400402,119
ACKR4,2.6394095,5.5577297,120
ACLY,0.42720568,-2.8833003,121
ACO1,2.3679962,-8.895383,78
ACO2,10.435446,10.626166,122
ACOT11,-1.3182783,12.232214,123
ACOT12,14.048124,-1.7059114,124
ACOT13,1.8887641,6.5576634,125
ACOT2,4.266609,-0.8275815,126
ACOT7,4.9464674,-2.5940557,127
ACOT9,0.37113324,0.14516522,128
ACOX1,0.93385667,5.1488066,129
ACOX2,0.6583453,6.7098384,130
ACOXL,3.2210495,12.927622,131
ACP2,1.9424834,-5.473751,132
ACP3,3.3178577,12.990193,133
ACP5,4.41265,4.4368405,2
ACP6,3.0215108,9.509889,134
ACP7,-4.0360556,10.294946,135
ACR,3.496602,10.30411,136
ACRBP,12.673891,11.753404,137
ACSF2,-3.7674162,7.064233,138
ACSF3,10.366569,8.121776,139
ACSL1,5.575383,10.987899,140
ACSL3,-1.6611655,3.8796277,141
ACSL4,7.038519,-3.645988,142
ACSL5,1.8736848,7.1749916,143
ACSL6,3.1195378,8.1648655,144
ACSM3,3.3679698,5.041769,145
ACSS1,10.5066395,7.9700956,139
ACSS2,-1.1609659,13.274248,146
ACSS3,5.0021296,-1.7195837,147
ACTA1,4.9463315,7.5355954,48
ACTA2,-0.42806706,-3.1888764,148
ACTB,-4.3196974,-2.5765445,149
ACTBL2,-4.9099784,-0.18491533,150
ACTC1,2.755536,-7.830044,151
ACTG1,3.2439842,-9.3331175,152
ACTG2,0.24294989,-6.8346257,153
ACTL10,5.6446986,14.22593,154
ACTL6B,7.400084,10.003409,155
ACTL7A,7.1774917,6.5342693,14
ACTL7B,7.1414204,6.452359,14
ACTL8,14.555345,4.5161967,156
ACTMAP,13.753381,-0.06279513,157
ACTN1,-5.511497,-0.4542275,158
ACTN2,5.2379575,0.867941,159
ACTN4,-7.038765,0.59350306,160
ACTR10,1.7363346,0.21783575,161
ACTR1A,3.0848632,-5.385061,77
ACTR1B,-2.1388645,5.7637496,162
ACTR2,0.025543042,-1.6060047,163
ACTR3,1.1057607,-2.6463387,164
ACTR3B,9.403583,3.6667266,165
ACTR5,0.5259192,4.981937,166
ACTR6,14.39006,2.924685,167
ACTR8,9.112427,-3.8501616,168
ACTRT3,-7.180768,3.3200223,169
ACVR1,-2.6472132,-5.468679,170
ACVR1B,5.882824,4.165865,171
ACVR2A,8.9359865,0.23406601,172
ACVR2B,11.696167,2.252587,173
ACVRL1,5.0416026,5.050568,174
ACY1,4.38933,1.0738784,175
ACY3,5.674284,14.241269,154
ACYP1,8.001566,6.6273546,116
ACYP2,2.1879108,0.78354335,176
ADA,7.1333785,9.817327,177
ADA2,16.000826,4.715736,85
ADAL,14.871492,-2.1736968,178
ADAM10,-4.9670787,2.395449,179
ADAM11,0.15562925,-0.6702075,180
ADAM12,-1.7488706,-6.671666,181
ADAM15,-2.044506,9.503431,182
ADAM17,1.0577006,-0.50705326,183
ADAM19,0.10845582,-3.99228,184
ADAM21,5.2943797,-6.1954846,49
ADAM22,12.2178335,6.242562,185
ADAM23,5.1803164,-5.097838,21
ADAM28,2.9105399,8.656779,186
ADAM30,-0.17763802,5.814927,187
ADAM33,0.23879704,-6.8360524,153
ADAM8,-4.298248,11.467787,188
ADAM9,-6.135082,-4.3797894,189
ADAMTS1,-1.7397624,-6.6437135,181
ADAMTS10,10.640513,-3.0825782,190
ADAMTS12,-4.536895,-0.12840632,191
ADAMTS13,5.7927227,4.3318987,192
ADAMTS14,0.20666659,2.9587946,193
ADAMTS15,-3.8812752,-4.7777896,194
ADAMTS16,-4.721306,-1.3403407,195
ADAMTS17,7.712768,9.236469,196
ADAMTS2,1.688147,-6.18243,197
ADAMTS3,-1.7899355,1.4471216,198
ADAMTS4,3.3066041,2.1593904,199
ADAMTS5,-3.090459,-5.3016906,200
ADAMTS6,-4.8135123,-6.928842,201
ADAMTS9,-4.7549853,-2.374732,202
ADAMTSL1,-3.0900495,-5.3052135,200
ADAMTSL3,2.1771524,-1.7426027,203
ADAMTSL4,1.9786,1.9125336,204
ADAMTSL5,-7.439761,6.106725,205
ADAP1,0.17056443,13.131142,206
ADAP2,-1.1854167,8.293801,207
ADAR,6.255116,15.303121,208
ADARB1,1.5899053,-2.5047002,209
ADARB2,13.307198,3.648556,210
ADAT1,3.2364445,6.12464,211
ADAT2,9.1737,8.724531,212
ADAT3,9.450631,1.7639298,213
ADCK2,7.9604926,0.7037366,214
ADCK5,6.1028147,5.8728695,215
ADCY1,8.4113,-2.807366,216
ADCY2,0.8243261,-3.6890032,16
ADCY3,7.7867837,1.360586,217
ADCY4,5.663164,14.232483,154
ADCY5,0.7207194,7.41495,115
ADCY6,-6.8152804,5.1606092,218
ADCY7,-1.1132846,10.13167,219
ADCY9,-0.37907207,-6.3985953,220
ADCYAP1,-0.25483525,-0.92628944,221
ADCYAP1R1,5.1103964,9.613403,222
ADD1,4.4922624,-1.70452,223
ADD2,7.467462,-1.6535876,224
ADD3,-1.6498405,10.340352,225
ADGRA2,2.7835457,0.17285852,226
ADGRA3,6.3300157,-5.1120977,9
ADGRB1,6.6140466,3.2946045,227
ADGRB2,4.333785,-7.2809014,228
ADGRB3,10.389566,1.1382335,229
ADGRD1,12.138254,6.0693307,230
ADGRE1,1.1131933,2.326057,231
ADGRE2,14.250212,1.8984902,232
ADGRE3,11.209571,5.4797025,233
ADGRE5,-3.7621827,1.1402575,234
ADGRF1,-0.14206336,8.209954,235
ADGRF4,-6.992049,8.782211,236
ADGRF5,-6.4964504,4.3674374,30
ADGRG1,-3.6941488,1.9515419,237
ADGRG2,-6.4911537,4.364704,30
ADGRG3,7.6955566,9.23544,196
ADGRG4,5.295875,-6.1963396,49
ADGRG5,10.622538,3.715735,238
ADGRG6,-7.440062,6.106894,205
ADGRL1,5.7680836,4.3773785,192
ADGRL2,-6.984135,-1.2684736,239
ADGRL3,3.9430175,6.532657,240
ADGRL4,5.953074,-8.031879,241
ADGRV1,0.78977543,7.137226,242
ADH1B,-2.9281297,6.323269,243
ADH5,1.5029191,-1.1907787,244
ADH7,-0.2931169,9.012279,245
ADHFE1,-0.33536088,-2.6085837,246
ADI1,7.453431,8.324539,247
ADIPOR1,0.4654229,9.9272375,248
ADIPOR2,5.5650096,11.068739,249
ADIRF,-5.6415606,10.520317,250
ADISSP,13.107715,2.7782984,251
ADK,-3.009384,8.589082,252
ADM,-3.3629725,-2.4823875,253
ADM2,12.5681305,2.5901465,254
ADM5,6.8149323,4.8256803,255
ADNP,1.8714746,1.1967163,256
ADNP2,7.8922997,2.501351,257
ADORA1,1.9853065,-6.1268883,258
ADORA2A,9.676062,10.894981,259
ADORA2B,-7.6059704,4.3643503,260
ADPGK,3.4286008,1.744762,32
ADPRH,12.449728,2.61521,261
ADPRHL1,4.2944756,13.49429,262
ADPRM,16.648634,2.7866657,263
ADPRS,-2.6707742,6.93033,264
ADRA1B,-3.8678648,-4.75786,194
ADRA1D,-2.657998,-7.109672,265
ADRA2A,1.4066803,5.2084403,266
ADRA2C,8.404396,-2.8120012,216
ADRB1,5.409852,14.533501,267
ADRB2,-5.524676,3.986952,268
ADRM1,2.232421,4.231426,269
ADSL,4.7484245,-3.6020248,270
ADSS1,1.0922493,4.07784,271
ADSS2,4.322777,2.8554049,272
ADTRP,-6.813167,-3.32547,273
AEBP1,3.3359277,2.19292,199
AEBP2,8.627872,2.3201513,274
AEN,14.556966,9.987546,275
AFAP1,-0.96915144,-8.356878,276
AFAP1L1,-4.7551746,-3.9117079,277
AFAP1L2,-6.987645,8.77851,236
AFDN,2.0100203,7.7844777,278
AFF1,8.028045,-1.3172233,279
AFF2,9.683156,9.811211,280
AFF3,3.660955,0.559323,281
AFF4,-0.43399557,-3.1962247,148
AFG2A,3.681826,4.6894073,282
AFG2B,0.76035833,8.580971,283
AFG3L2,9.655217,5.4272475,284
AFMID,9.867653,4.8674803,285
AFP,2.749421,-7.8236485,151
AGA,7.4298263,5.4000344,286
AGAP1,-3.1363623,5.6755056,287
AGAP2,16.660276,3.4954312,288
AGAP3,-2.236289,8.849601,289
AGAP6,9.441691,1.7573317,213
AGBL2,5.332222,6.3546977,109
AGBL3,16.751467,7.8482904,290
AGBL4,11.705764,-5.21883,291
AGBL5,7.788844,1.3594624,217
AGER,12.526672,5.3362784,292
AGFG1,-4.6483707,1.9247013,293
AGFG2,-1.3468066,5.033468,294
AGK,13.662781,2.0159113,295
AGL,3.8723068,9.798963,296
AGMAT,3.1099875,12.82393,131
AGMO,-4.522771,6.6274786,297
AGO1,9.591263,5.4239545,298
AGO2,15.225259,6.0653534,299
AGO3,9.504498,-2.0064366,300
AGO4,14.358924,8.771288,301
AGPAT1,5.1203985,-6.6995482,302
AGPAT2,-1.5193493,9.130607,303
AGPAT3,5.0656934,4.887033,304
AGPAT4,2.6799803,-1.2535205,305
AGPAT5,12.5974655,3.2562308,306
AGPS,7.4235864,5.392175,286
AGR2,2.1333723,16.027178,307
AGR3,2.135182,16.026089,307
AGRN,-5.063892,5.6170697,45
AGT,4.7644105,6.704976,308
AGTPBP1,13.98527,4.329294,96
AGTR1,4.5140095,-1.7213075,223
AGTRAP,-2.505826,-1.4897473,309
AHCY,13.045393,8.919428,310
AHCYL1,4.388035,-6.385242,50
AHCYL2,9.589235,-4.5331955,311
AHDC1,3.438013,-5.771633,312
AHI1,9.872867,-5.8345532,313
AHNAK,-3.755826,-0.056497257,314
AHNAK2,-6.132091,-4.375263,189
AHR,-3.9248824,7.464878,315
AHRR,3.6353106,-8.453457,316
AHSA1,2.6590912,12.825333,317
AHSG,-2.605821,4.096802,318
AICDA,4.922857,8.953902,319
AIDA,1.5827456,0.84751874,320
