epoch,lr,train_loss,train_mse,train_pearson_batch,val_loss,val_mse,val_pearson_batch,mae_chronos,rmse_chronos,pearson_full,pearson_per_cl_mean,pearson_per_cl_sd,time_sec
1,2.998712e-03,2.760324,3.210267,0.2974,1.304108,1.396482,0.2933,0.2433,0.3462,0.3663,0.3667,0.0361,122.45
2,2.994796e-03,1.264816,1.359515,0.3383,1.235220,1.321760,0.3276,0.2409,0.3389,0.4213,0.4222,0.0369,95.82
3,2.988268e-03,1.218123,1.313795,0.3637,1.188607,1.270771,0.3546,0.2313,0.3293,0.4563,0.4570,0.0383,95.22
4,2.979123e-03,1.182954,1.282370,0.3812,1.160058,1.246088,0.3666,0.2286,0.3249,0.4765,0.4775,0.0406,94.77
5,2.967385e-03,1.154414,1.260002,0.3939,1.135536,1.228249,0.3757,0.2284,0.3242,0.4853,0.4869,0.0406,95.04
6,2.953093e-03,1.129408,1.243281,0.4032,1.102498,1.200287,0.3946,0.2219,0.3188,0.5055,0.5062,0.0416,94.74
7,2.936236e-03,1.105571,1.229514,0.4108,1.078725,1.187887,0.4014,0.2215,0.3180,0.5131,0.5139,0.0429,95.44
8,2.916888e-03,1.083204,1.219091,0.4167,1.065381,1.183694,0.4031,0.2209,0.3166,0.5147,0.5154,0.0430,95.72
9,2.895030e-03,1.060830,1.210167,0.4218,1.041007,1.173396,0.4085,0.2194,0.3149,0.5235,0.5247,0.0434,96.09
10,2.870727e-03,1.037964,1.202143,0.4265,1.012541,1.159048,0.4173,0.2223,0.3178,0.5273,0.5279,0.0441,95.60
11,2.844055e-03,1.015313,1.195524,0.4304,0.993123,1.152266,0.4181,0.2216,0.3162,0.5304,0.5312,0.0434,95.26
12,2.814994e-03,0.992376,1.189730,0.4341,0.972186,1.146706,0.4230,0.2176,0.3125,0.5369,0.5376,0.0440,100.12
13,2.783626e-03,0.969743,1.185324,0.4372,0.948879,1.139156,0.4274,0.2178,0.3127,0.5393,0.5402,0.0445,97.29
14,2.750053e-03,0.946354,1.180468,0.4404,0.925656,1.133035,0.4298,0.2185,0.3132,0.5428,0.5437,0.0434,95.64
15,2.714245e-03,0.922709,1.175985,0.4436,0.905990,1.126731,0.4335,0.2158,0.3099,0.5465,0.5475,0.0443,95.07
16,2.676358e-03,0.898807,1.171392,0.4468,0.883730,1.129173,0.4360,0.2189,0.3146,0.5458,0.5469,0.0438,96.68
17,2.636361e-03,0.876003,1.168407,0.4497,0.861426,1.117867,0.4387,0.2167,0.3101,0.5520,0.5528,0.0443,95.12
